,iqr-Outlier,iqr-Prob,ifor-Score,ifor-Outlier,ifor-Prob,lof-Score,lof-Outlier,lof-Prob,ocsvm-Score,ocsvm-Outlier,svm-Prob,outlier,actual Outlier
9744,1,Likely an Outlier,0.013692128798106329,1,Maybe Outlier,1.3783029570953171,-1,Likely an Outlier,9.973193740918294,1,Likely an Outlier,-1, no Outlier
9743,1,Likely an Outlier,0.06748549887707467,1,Maybe Outlier,1.6595297010893417,-1,Likely an Outlier,9.97322722395815,1,Likely an Outlier,1, an Outlier
9742,1,Likely an Outlier,0.10577732643465604,1,Likely an Outlier,0.9381070222843911,1,Likely no Outlier,9.973286100346817,1,Likely an Outlier,1, an Outlier
9741,1,Likely an Outlier,-0.022819978296142907,-1,Maybe Outlier,1.4151762102291752,1,Likely an Outlier,9.973317699555212,1,Likely an Outlier,-1, no Outlier
9740,1,Likely an Outlier,0.11822693620872049,1,Likely an Outlier,0.959650315379573,1,Likely no Outlier,9.973371472987292,1,Likely an Outlier,1, an Outlier
9739,1,Likely an Outlier,0.12636678799158602,1,Likely an Outlier,0.9631060489372961,1,Likely no Outlier,9.973413328184794,1,Likely an Outlier,1, an Outlier
9738,1,Likely an Outlier,0.1283517170705769,1,Likely an Outlier,0.9813875099836779,1,Likely no Outlier,9.9734549989847,1,Likely an Outlier,1, an Outlier
9737,1,Likely an Outlier,0.09884316420668265,1,Maybe Outlier,1.030341285577305,1,Maybe Outlier,9.973493984099001,1,Likely an Outlier,1, an Outlier
9736,1,Likely an Outlier,0.10429130453987251,1,Likely an Outlier,1.0189296161354533,1,Maybe Outlier,9.97353590933804,1,Likely an Outlier,1, an Outlier
9735,1,Likely an Outlier,0.09177085926272505,1,Maybe Outlier,1.0786925899953221,1,Maybe Outlier,9.973573137884367,1,Likely an Outlier,1, an Outlier
9734,1,Likely an Outlier,0.12501005976145035,1,Likely an Outlier,0.9925985750463576,1,Likely no Outlier,9.973618591458047,1,Likely an Outlier,1, an Outlier
9733,1,Likely an Outlier,-0.017019430027410465,-1,Maybe Outlier,1.9382642393037544,-1,Likely an Outlier,9.97364052719164,1,Likely an Outlier,-1, no Outlier
9732,1,Likely an Outlier,0.09682502272944371,1,Maybe Outlier,1.2270348286351969,1,Likely an Outlier,9.973697816597168,1,Likely an Outlier,1, an Outlier
9731,1,Likely an Outlier,0.07490393288371461,1,Maybe Outlier,1.3525034750869065,-1,Likely an Outlier,9.973725960116091,1,Likely an Outlier,1, an Outlier
9730,1,Likely an Outlier,0.11614750188619988,1,Likely an Outlier,1.0392474126359108,1,Maybe Outlier,9.973779251102114,1,Likely an Outlier,1, an Outlier
9729,1,Likely an Outlier,0.11734242894363556,1,Likely an Outlier,1.060005446772101,1,Maybe Outlier,9.973820258618446,1,Likely an Outlier,1, an Outlier
9728,1,Likely an Outlier,0.10708501827389733,1,Likely an Outlier,0.9793091700054273,1,Likely no Outlier,9.97385824435376,1,Likely an Outlier,1, an Outlier
9727,1,Likely an Outlier,0.11259394435167974,1,Likely an Outlier,0.9754925822532836,1,Likely no Outlier,9.973898265135777,1,Likely an Outlier,1, an Outlier
9726,1,Likely an Outlier,0.00031242480805471207,1,Maybe Outlier,1.014224458720528,1,Maybe Outlier,9.973938270420806,1,Likely an Outlier,-1, no Outlier
9725,1,Likely an Outlier,0.04954498896683124,1,Maybe Outlier,0.9966050525815424,1,Likely no Outlier,9.973978019114485,1,Likely an Outlier,1, an Outlier
9724,1,Likely an Outlier,0.093408232114155,1,Maybe Outlier,1.0398314748337611,1,Maybe Outlier,9.97401413177032,1,Likely an Outlier,1, an Outlier
9723,1,Likely an Outlier,0.11317237148529569,1,Likely an Outlier,1.0172324287655228,1,Maybe Outlier,9.974055898606728,1,Likely an Outlier,1, an Outlier
9722,1,Likely an Outlier,0.11072975035292143,1,Likely an Outlier,0.9593749727352019,1,Likely no Outlier,9.974092120945022,1,Likely an Outlier,1, an Outlier
9721,1,Likely an Outlier,0.12847585611257323,1,Likely an Outlier,0.9687901481833118,1,Likely no Outlier,9.974132496142106,1,Likely an Outlier,1, an Outlier
9720,1,Likely an Outlier,-0.001081105270642757,-1,Maybe Outlier,1.064567289439036,1,Maybe Outlier,9.97417078688131,1,Likely an Outlier,-1, no Outlier
9719,-1,Likely no Outlier,-0.03266840046444819,-1,Maybe Outlier,1.9718389118515902,-1,Likely an Outlier,9.974152843024012,1,Likely an Outlier,-1, no Outlier
9718,1,Likely an Outlier,0.118609833963848,1,Likely an Outlier,1.0648474377784045,1,Maybe Outlier,9.974247426127905,1,Likely an Outlier,1, an Outlier
9717,1,Likely an Outlier,0.09843324087075273,1,Maybe Outlier,1.054068044111712,1,Maybe Outlier,9.974285698945753,1,Likely an Outlier,1, an Outlier
9716,-1,Likely no Outlier,-0.022994396463040356,-1,Maybe Outlier,1.884685813982997,-1,Likely an Outlier,9.974278759805012,1,Likely an Outlier,-1, no Outlier
9715,1,Likely an Outlier,0.12515603741057824,1,Likely an Outlier,1.0665152935416642,1,Maybe Outlier,9.974360844491446,1,Likely an Outlier,1, an Outlier
9714,1,Likely an Outlier,0.11543023478426012,1,Likely an Outlier,1.2437021784162166,1,Likely an Outlier,9.974396087028815,1,Likely an Outlier,1, an Outlier
9713,-1,Likely no Outlier,-0.03146004869609076,-1,Maybe Outlier,1.8785131188440367,-1,Likely an Outlier,9.974397383177235,1,Likely an Outlier,-1, no Outlier
9712,1,Likely an Outlier,0.1146448000075897,1,Likely an Outlier,1.0086906025745335,1,Maybe Outlier,9.97447142938363,1,Likely an Outlier,1, an Outlier
9711,1,Likely an Outlier,0.13071419847941695,1,Likely an Outlier,0.9406320952906457,1,Likely no Outlier,9.974509085413636,1,Likely an Outlier,1, an Outlier
9710,1,Likely an Outlier,0.09689205761598857,1,Maybe Outlier,1.0117863849091138,1,Maybe Outlier,9.974545187859807,1,Likely an Outlier,1, an Outlier
9709,1,Likely an Outlier,0.13172879697522938,1,Likely an Outlier,0.9025719203034894,1,Likely no Outlier,9.974582285802265,1,Likely an Outlier,1, an Outlier
9708,1,Likely an Outlier,0.08274512281287871,1,Maybe Outlier,0.969521029822733,1,Likely no Outlier,9.974614949055836,1,Likely an Outlier,1, an Outlier
9707,1,Likely an Outlier,0.1167742838655329,1,Likely an Outlier,1.0625692997723541,1,Maybe Outlier,9.974654167799127,1,Likely an Outlier,1, an Outlier
9706,1,Likely an Outlier,0.08329246168708976,1,Maybe Outlier,1.2787158106411376,1,Likely an Outlier,9.974686164484533,1,Likely an Outlier,1, an Outlier
9705,1,Likely an Outlier,0.09110753620610146,1,Maybe Outlier,1.0398411450732967,1,Maybe Outlier,9.974724542174602,1,Likely an Outlier,1, an Outlier
9704,1,Likely an Outlier,0.10036305211028534,1,Likely an Outlier,1.362517171559359,1,Likely an Outlier,9.974757177834617,1,Likely an Outlier,1, an Outlier
